,raw-s-delta,volume-delta,ewm_last20_volume_base_s,ewm_last20_raw_s,ewm_volume_base_s,mean_volume_base_s,mean_s_dispersion,daily_sd_s_dispersion,volume_base_s_coff,raw_s_coff,volume_base_s_delta,s_dispersion_delta,volume_base_s_z,raw_s_z,s_volume_z,s_dispersion_z,volume_base_s_MACD_ewma12-ewma26,raw_s_MACD_ewma12-ewma26,s_volume_MACD_ewma12-ewma26,s_dispersion_MACD_ewma12-ewma26
0.015855855855855857,-0.024089978625542054,0.0012705936106607058,0.008388574104207978,-0.00379680963803126,-0.05612465125828464,-0.014781013137117438,0.006230443072745502,0.010112370298108627,0.008845395121105474,-0.0040151658545048196,0.031195925978256375,0.06851500641218916,0.0001592166432360492,0.0001309049684139086,-0.0002898831227624407,0.00014387295220638923,-0.006524053989311134,-0.014905483470264906,-0.0006802107011026858,-0.0040373991503869985
0.015875875875875876,-0.024080026792732075,0.001270446598675466,0.00838378988739775,-0.003796469018699435,-0.05609422412066436,-0.014792198618566683,0.006228006870380421,0.01010702480779588,0.008844703986859876,-0.004015267925912692,0.03117904732458735,0.06849181781676963,0.0001596224041430059,0.00013033591047549353,-0.0002898787500360219,0.0001439643356495409,-0.006520677910618738,-0.014893391683102443,-0.0006785471296194516,-0.004038032651545802
0.015895895895895896,-0.02407008550664833,0.0012702997333790516,0.008379009722003082,-0.003796128565289618,-0.056063846225525564,-0.014803339259333415,0.00622557456098509,0.010101683773950878,0.008844012312405393,-0.004015369724992161,0.031162185670577106,0.06846864545190975,0.00016002771749261754,0.00012976740854854597,-0.00028987438108622683,0.00014405564238336474,-0.006517303297406709,-0.014881319564521631,-0.0006768849501629952,-0.004038661541828833
0.015915915915915915,-0.024060154749631642,0.0012701530144531008,0.008374233601130139,-0.0037957882777865932,-0.05603351742139939,-0.014814435236906709,0.006223146132238373,0.01009634719068277,0.008843320101538533,-0.004015471252537237,0.03114534098957129,0.06844548929899054,0.00016043258415948157,0.0001291994617131186,-0.00028987001588996747,0.00014414687257971196,-0.006513930158447902,-0.014869267064176643,-0.0006752241614815773,-0.004039285838967694
0.015935935935935935,-0.024050234504066403,0.001270006441580437,0.008369461517908915,-0.0037954481561754388,-0.05600323755749864,-0.014825486727914304,0.006220721571873784,0.010091015052113109,0.008842627358036145,-0.004015572509338988,0.03112851325497789,0.06842234933942802,0.00016083700501525546,0.0001286320690517551,-0.0002898656544242816,0.00014423802640972996,-0.006510558502432654,-0.014857234131904293,-0.0006735647623228257,-0.004039905560615443
0.015955955955955954,-0.024040324752379882,0.001269860014445053,0.008364693465492167,-0.0037951082004410767,-0.055973006483714734,-0.014836493908126776,0.006218300867678811,0.010085687352376414,0.008841934085654892,-0.004015673496185247,0.031111702440266047,0.06839922555467307,0.0001612409809288742,0.00012806522964932396,-0.00028986129666632967,0.000144329104043887,-0.006507188337969917,-0.014845220717722775,-0.0006719067514337611,-0.004040520724346981
0.015975975975975977,-0.02403042547704204,0.0012697137327321141,0.008359929437054762,-0.003794768410567974,-0.05594282405061464,-0.014847456952460382,0.0062158840074948984,0.010080364085619705,0.008841240288130837,-0.004015774213860348,0.031094908518965642,0.06837611792621086,0.00016164451276669698,0.00012749894259287233,-0.0002898569425933985,0.00014442010565196816,-0.006503819673587617,-0.014833226771831277,-0.0006702501275606381,-0.004041131347659593
0.015995995995995996,-0.024020536660565948,0.0012695675961279364,0.008355169425795651,-0.003794428786541252,-0.055912690109434796,-0.014858376034986303,0.006213470979217142,0.01007504524600242,0.008840545969181185,-0.004015874663145972,0.031078131464668236,0.06835302643556136,0.0001620476013920313,0.00012693320697206533,-0.00028985259218289224,0.00014451103140306773,-0.006500452517733344,-0.014821252244609036,-0.00066859488944933,-0.0040417374479732185
0.016016016016016016,-0.024010658285506938,0.00126942160432,0.008350413424934743,-0.0037940893283450895,-0.05588260451207916,-0.014869251328932,0.006211061770793477,0.010069730827696757,0.008839851132502281,-0.004015974844820073,0.03106137125102561,0.06832995106427879,0.00016245024766582542,0.00012636802187856433,-0.0002898482454123424,0.00014460188146562004,-0.006497086878774927,-0.014809297086614149,-0.0006669410358448935,-0.0040423390426309585
0.016036036036036035,-0.024000790334462722,0.0012692757569969346,0.00834566142771585,-0.0037937500359643073,-0.055852567111114707,-0.014880083006688255,0.006208656370225628,0.010064420824887276,0.008839155781771899,-0.004016074759658017,0.031044627851749978,0.06830689179395183,0.0001628524524460208,0.00012580338640660524,-0.00028984390225939976,0.00014469265600736765,-0.006493722765001313,-0.014797361248582934,-0.000665288565491958,-0.0040429361488994505
0.016056056056056055,-0.023990932790073187,0.0012691300538485138,0.00834091342740373,-0.0037934109093829315,-0.05582257775976815,-0.014890871239812229,0.006206254765566931,0.010059115231771072,0.008838459920647152,-0.0040161744084314535,0.031027901240613835,0.06828384860620304,0.0001632542165881904,0.0001252392996524375,-0.00028983956270183745,0.00014478335519540504,-0.00649036018462275,-0.014785444681429007,-0.0006636374771344455,-0.004043528783969253
0.016076076076076074,-0.023981085635021077,0.0012689844945656386,0.008336169417286418,-0.0037930719485854856,-0.05579263631192038,-0.014901616199034753,0.006203856944924342,0.010053814042557584,0.008837763552766621,-0.0040162737919093765,0.031011191391450758,0.06826082148268932,0.0001636555409449078,0.00012467576071488817,-0.00028983522671754356,0.00014487397919614323,-0.00648699914577167,-0.014773547336242837,-0.0006619877695159559,-0.004044116964955276
0.016096096096096097,-0.023971248852030023,0.0012688390788403554,0.008331429390674019,-0.003792733153556306,-0.05576274262210484,-0.014912318054263995,0.006201462896455873,0.010048517251468516,0.008837066681749585,-0.004016372910857686,0.030994498278152743,0.06823781040510139,0.0001640564263662144,0.00012411276869494624,-0.0002898308942845323,0.00014496452817533865,-0.006483639656503348,-0.014761669164290073,-0.0006603394413794091,-0.004044700708897245
0.016116116116116116,-0.023961422423865793,0.0012686938063658298,0.00832669334089762,-0.003792394524279132,-0.055732896545503244,-0.014922976974589,0.006199072608371834,0.010043224852738165,0.008836369311195335,-0.004016471766038763,0.03097782187467177,0.06821481535516388,0.00016445687369967896,0.00012355032269570777,-0.0002898265653809326,0.0001450550022980951,-0.006480281724796431,-0.014749810117011345,-0.0006586924914671914,-0.004045280032759945
0.016136136136136136,-0.023951606333336293,0.0012685486768363441,0.008321961261311406,-0.003792056060738286,-0.05570309793793994,-0.014933593128287785,0.006196686068934209,0.010037936840612867,0.008835671444685144,-0.004016570358212495,0.030961162155020185,0.06819183631463528,0.0001648568837899048,0.00012298842182283042,-0.0002898222399849907,0.00014514540172885074,-0.006476925358553357,-0.014737970146021323,-0.000657046918521388,-0.004045854953433743
0.016156156156156155,-0.023941800563290396,0.0012684036899473037,0.008317233145290415,-0.0037917177629175174,-0.05567334665588134,-0.014944166682828004,0.006194303266455977,0.010032653209351289,0.008834973085780524,-0.004016668688135284,0.030944519093268653,0.06816887326530749,0.00016525645747911803,0.00012242706518399737,-0.00028981791807507234,0.00014523572663140136,-0.006473570565601164,-0.014726149203107835,-0.0006554027212834466,-0.004046425487734956
0.016176176176176175,-0.02393200509661886,0.0012682588453952132,0.00831250898623196,-0.0037913796308007485,-0.055643642556429604,-0.014954697804875607,0.0061919241893013165,0.010027373953224221,0.008834274238024761,-0.004016766756560821,0.03092789266354779,0.06814592618900615,0.0001656555956067763,0.0001218662518892749,-0.0002898135996296582,0.00014532597716888798,-0.006470217353691996,-0.014714347240230918,-0.0006537598984944715,-0.0040469916524061705
