Total,,,Top 25,,,,don't matter,,Avg,,With S&P,,Without S&P,,Lowest 134
MTUM,1.693,,,,,,,,,,,,,,
VIG,1.689,,,,,,,,,,,,,,
PKB,1.685,,,,,,,,,,,,,,
DRN,1.683,,,,,,,,,,,,,,
ROBO,1.682,,,,,,,,,,,,,,
CEFL,1.680,,,,,,,,,,,,,,
BUNL,1.676,,,,,,,,,,,,,,
EPS,1.675,,,,,,,,,,,,,,
BAB,1.670,,,,,,,,,,,,,,
THD,1.661,,,,,,,,,,,,,,
SCHH,1.661,,,,,,,,,,,,,,
MDD,1.659,,,,,,,,,,,,,,
YCL,1.659,,,,,,,,,,,,,,
RMB,1.646,,,,,,,,,,,,,,
VEU,1.646,,,,,,,,,,,,,,
MOO,1.641,,,,,,,,,,,,,,
ICF,1.641,,,,,,,,,,,,,,
VXZ,1.637,,,,,,,,,,,,,,
MLPS,1.634,,,,,,,,,,,,,,
DLN,1.631,,,,,,,,,,,,,,
REA,1.629,,,,,,,,,,,,,,
UBM,1.622,,,,,,,,,,,,,,
SCLP,1.620,,,,,,,,,,,,,,
XES,1.620,,,,,,,,,,,,,,
PIN,1.614,,,,,,,,,,,,,,
BBH,1.614,,,,,,,,,,,,,,
IRV,1.612,,,,,,,,,,,,,,
GWO,1.609,,,,,,,,,,,,,,
GULF,1.607,,,,,,,,,,,,,,
PLND,1.607,,,,,,,,,,,,,,
EMLC,1.605,,,,,,,,,,,,,,
DGLD,1.602,,,,,,,,,,,,,,
RTL,1.598,,,,,,,,,,,,,,
YDIV,1.598,,,,,,,,,,,,,,
SILJ,1.596,,,,,,,,,,,,,,
PCY,1.596,,,,,,,,,,,,,,
DSLV,1.594,,,,,,,,,,,,,,
MZN,1.594,,,,,,,,,,,,,,
DNH,1.592,,,,,,,,,,,,,,
IVE,1.592,,,,,,,,,,,,,,
DOO,1.592,,,,,,,,,,,,,,
FBT,1.591,,,,,,,,,,,,,,
UDOW,1.591,,,,,,,,,,,,,,
IGM,1.590,,,,,,,,,,,,,,
VYM,1.586,,,,,,,,,,,,,,
URR,1.586,,,,,,,,,,,,,,
IWS,1.585,,,,,,,,,,,,,,
TWM,1.584,,,,,,,,,,,,,,
DGZ,1.584,,,,,,,,,,,,,,
JKD,1.584,,,,,,,,,,,,,,
EQL,1.582,,,,,,,,,,,,,,
RWR,1.581,,,,,,,,,,,,,,
BLND,1.581,,,,,,,,,,,,,,
XOIL,1.580,,,,,,,,,,,,,,
MCRO,1.579,,,,,,,,,,,,,,
PEK,1.577,,,,,,,,,,,,,,
DEB,1.574,,,,,,,,,,,,,,
VCR,1.574,,,,,,,,,,,,,,
VIIX,1.573,,,,,,,,,,,,,,
GMMB,1.571,,,,,,,,,,,,,,
TFI,1.569,,,,,,,,,,,,,,
BWX,1.566,,,,,,,,,,,,,,
TGR,1.559,,,,,,,,,,,,,,
KBWC,1.559,,,,,,,,,,,,,,
RETL,1.558,,,,,,,,,,,,,,
IJH,1.552,,,,,,,,,,,,,,
VFH,1.550,,,,,,,,,,,,,,
ADRD,1.549,,,,,,,,,,,,,,
PSI,1.544,,,,,,,,,,,,,,
GLDX,1.541,,,,,,,,,,,,,,
IPF,1.540,,,,,,,,,,,,,,
SJNK,1.537,,,,,,,,,,,,,,
EPU,1.534,,,,,,,,,,,,,,
CU,1.532,,,,,,,,,,,,,,
PEY,1.532,,,,,,,,,,,,,,
JJG,1.532,,,,,,,,,,,,,,
URE,1.531,,,,,,,,,,,,,,
BOS,1.529,,,,,,,,,,,,,,
BNDX,1.529,,,,,,,,,,,,,,
MONY,1.529,,,,,,,,,,,,,,
JKG,1.528,,,,,,,,,,,,,,
BDCL,1.528,,,,,,,,,,,,,,
FEP,1.527,,,,,,,,,,,,,,
IWO,1.523,,,,,,,,,,,,,,
HYLD,1.518,,,,,,,,,,,,,,
ZIV,1.517,,,,,,,,,,,,,,
COPX,1.515,,,,,,,,,,,,,,
MBB,1.511,,,,,,,,,,,,,,
SMIN,1.511,,,,,,,,,,,,,,
XPH,1.511,,,,,,,,,,,,,,
PPH,1.509,,,,,,,,,,,,,,
EPHE,1.508,,,,,,,,,,,,,,
VCIT,1.507,,,,,,,,,,,,,,
IQDE,1.500,,,,,,,,,,,,,,
DGT,1.498,,,,,,,,,,,,,,
UMDD,1.496,,,,,,,,,,,,,,
ECH,1.496,,,,,,,,,,,,,,
VOX,1.484,,,,,,,,,,,,,,
HDGE,1.484,,,,,,,,,,,,,,
DEF,1.483,,,,,,,,,,,,,,
IRY,1.481,,,,,,,,,,,,,,
CHNA,1.480,,,,,,,,,,,,,,
GSC,1.480,,,,,,,,,,,,,,
VO,1.476,,,,,,,,,,,,,,
NOBL,1.476,,,,,,,,,,,,,,
RYH,1.473,,,,,,,,,,,,,,
NGE,1.470,,,,,,,,,,,,,,
GASX,1.470,,,,,,,,,,,,,,
